,SKU,DESCRIPTION,YEAR,CAPACITY,URL,PRICE,SELLER_INFORMATION,OFFER_DESCRIPTION,COUNTRY
2,11331,"Barbaresco,Angelo Gaja",1990,750ml,https://www.wine-searcher.com/find/barbaresco+angelo+gaja/1990/-/-/u,$329.00,The Redd Collection,"1990Barbaresco,Angelo Gaja",USA (CA)
6,11332,"Barbaresco,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+angelo+gaja/2010/-/-/u,$175.00,The Redd Collection,"2010Barbaresco,Angelo Gaja",USA (CA)
18,11333,"Barbaresco,Costa Russi,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+costa+russi+angelo+gaja/2009/-/-/u,$304.00,The Redd Collection,"2009Barbaresco,Costa Russi,Angelo Gaja",USA (CA)
23,11333,"Barbaresco,Costa Russi,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+costa+russi+angelo+gaja/2009/-/-/u,$379.00,The Old & Rare Wine Company,Angelo Gaja Costa Russi Langhe2009,USA (CA)
24,11333,"Barbaresco,Costa Russi,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+costa+russi+angelo+gaja/2009/-/-/u,$379.98,Wine House,2009Angelo Gaja Langhe Costa Russi750ml,USA (CA)
37,11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u,$339.00,SommPicks,2000Gaja Langhe Nebbiolo Sori San Lorenzo,USA (CA)
39,11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u,$348.00,The Redd Collection,"2000Barbaresco,Sori San Lorenzo,Angelo Gaja",USA (CA)
40,11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u,$348.00,Westgarth Wines,"2000Gaja,Sori San Lorenzo",USA (CA)
44,11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u,$700.00,Vinfolio,2000Gaja-Langhe Sori San Lorenzo1.5L,USA (CA)
49,11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u,$4175.00,Westgarth Wines,"2000Gaja,Sori San Lorenzo",USA (CA)
52,11335,"Barbaresco,Sori Tildin,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tildin+angelo+gaja/2009/-/-/u,$304.00,The Redd Collection,"2009Barbaresco,Sori Tildin,Angelo Gaja",USA (CA)
53,11335,"Barbaresco,Sori Tildin,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tildin+angelo+gaja/2009/-/-/u,$315.00,Westgarth Wines,"2009Gaja,Sori Tildin",USA (CA)
56,11335,"Barbaresco,Sori Tildin,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tildin+angelo+gaja/2009/-/-/u,$449.97,Artisan Wine Depot,"Gaja""Sori Tildin""LangheD.O.C.2009(Piedmont,Italy)-[AG96][WE95][JS95][WS93]",USA (CA)
66,11335,"Barbaresco,Sori Tildin,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tildin+angelo+gaja/2009/-/-/u,$3775.00,Westgarth Wines,"2009Gaja,Sori Tildin",USA (CA)
72,11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,1.5L,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$395.00,European Wine Resource,2010Gaja-Sori Tildin,USA (CA)
74,11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,1.5L,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$455.00,Westgarth Wines,"2010Gaja,Sori Tildin",USA (CA)
75,11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,1.5L,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$455.00,The Redd Collection,"2010Barbaresco,Sori Tildin,Angelo Gaja",USA (CA)
76,11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,1.5L,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$489.97,Artisan Wine Depot,"Gaja""Sori Tildin""LangheD.O.C.2010(Piedmont,Italy)-[JS97][RP96+][JS96(+)][WS94]",USA (CA)
77,11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,1.5L,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$489.99,Lincoln Fine Wines,Gaja-Nebbiolo Sori Tildin Langhe2010,USA (CA)
81,11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,1.5L,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$910.00,The Redd Collection,"2010Barbaresco,Sori Tildin,Angelo Gaja",USA (CA)
95,11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,1.5L,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$2725.00,Westgarth Wines,"2010Gaja,Sori Tildin",USA (CA)
107,11337,"Barbaresco,Sori Tildin,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$395.00,European Wine Resource,2010Gaja-Sori Tildin,USA (CA)
109,11337,"Barbaresco,Sori Tildin,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$455.00,Westgarth Wines,"2010Gaja,Sori Tildin",USA (CA)
110,11337,"Barbaresco,Sori Tildin,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$455.00,The Redd Collection,"2010Barbaresco,Sori Tildin,Angelo Gaja",USA (CA)
111,11337,"Barbaresco,Sori Tildin,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$489.97,Artisan Wine Depot,"Gaja""Sori Tildin""LangheD.O.C.2010(Piedmont,Italy)-[JS97][RP96+][JS96(+)][WS94]",USA (CA)
